species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Formicivora grisea,White-fringed Antwren,Formicivora grisea,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,15643,Formicivora grisea,Southern White-fringed Antwren,Formicivora grisea,Formicivora grisea,Formicivora grisea
Euchrepomis callinota,Rufous-rumped Antwren,Euchrepomis callinota,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,15476,Euchrepomis callinota,Rufous-rumped Antwren,Euchrepomis callinota,Euchrepomis callinota,Euchrepomis callinota
Cercomacroides tyrannina,Dusky Antbird,Cercomacroides tyrannina,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16068,Cercomacroides tyrannina,Dusky Antbird,Cercomacroides tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina
Cercomacra nigricans,Jet Antbird,Cercomacra nigricans,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16086,Cercomacra nigricans,Jet Antbird,Cercomacra nigricans,Cercomacra nigricans,Cercomacra nigricans
Gymnocichla nudiceps,Bare-crowned Antbird,Gymnocichla nudiceps,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16187,Gymnocichla nudiceps,Bare-crowned Antbird,Gymnocichla nudiceps,Gymnocichla nudiceps,Gymnocichla nudiceps
Myrmeciza longipes,White-bellied Antbird,Myrmeciza longipes,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,16160,Myrmeciza longipes,White-bellied Antbird,Myrmeciza longipes,Myrmeciza longipes,Myrmeciza longipes
Hylophylax naevioides,Spotted Antbird,Hylophylax naevioides,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16104,Hylophylax naevioides,Spotted Antbird,Hylophylax naevioides,Hylophylax naevioides,Hylophylax naevioides
Myrmornis torquata,Wing-banded Antbird,Myrmornis torquata,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,15490,Myrmornis torquata,Southern Wing-banded Antbird,Myrmornis torquata,Myrmornis torquata,Myrmornis torquata
Gymnopithys bicolor,Bicolored Antbird,Gymnopithys bicolor,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,15956,Gymnopithys bicolor,Bicolored Antbird,Gymnopithys bicolor,Gymnopithys bicolor,Gymnopithys bicolor
Phaenostictus mcleannani,Ocellated Antbird,Phaenostictus mcleannani,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,15951,Phaenostictus mcleannani,Ocellated Antbird,Phaenostictus mcleannani,Phaenostictus mcleannani,Phaenostictus mcleannani
Pittasoma michleri,Black-crowned Antpitta,Pittasoma michleri,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16482,Pittasoma michleri,Black-crowned Pittasoma,Pittasoma michleri,Pittasoma michleri,Pittasoma michleri
Grallaria guatimalensis,Scaled Antpitta,Grallaria guatimalensis,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,Forests—Mesoamerican Highland,Forests—Tropical Montane Evergreen,Forests—Mesoamerican Highland,16302,Grallaria guatimalensis,Scaled Antpitta,Grallaria guatimalensis,Grallaria guatimalensis,Grallaria guatimalensis
Hylopezus perspicillatus,Streak-chested Antpitta,Hylopezus perspicillatus,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16380,Hylopezus perspicillatus,Streak-chested Antpitta,Hylopezus perspicillatus,Hylopezus perspicillatus,Hylopezus perspicillatus
Hylopezus dives,Thicket Antpitta,Hylopezus dives,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16396,Hylopezus dives,Thicket Antpitta,Hylopezus dives,Hylopezus dives,Hylopezus dives
Grallaricula flavirostris,Ochre-breasted Antpitta,Grallaricula flavirostris,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,16423,Grallaricula flavirostris,Ochre-breasted Antpitta,Grallaricula flavirostris,Grallaricula flavirostris,Grallaricula flavirostris
Scytalopus panamensis,Tacarcuna Tapaculo,Scytalopus panamensis,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,16546,Scytalopus panamensis,Tacarcuna Tapaculo,Scytalopus panamensis,Scytalopus panamensis,Scytalopus panamensis
Scytalopus argentifrons,Silvery-fronted Tapaculo,Scytalopus argentifrons,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,16548,Scytalopus argentifrons,Silvery-fronted Tapaculo,Scytalopus argentifrons,Scytalopus argentifrons,Scytalopus argentifrons
Formicarius analis,Black-faced Antthrush,Formicarius analis,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,16231,Formicarius analis,Black-faced Antthrush,Formicarius analis,Formicarius analis,Formicarius analis
Formicarius nigricapillus,Black-headed Antthrush,Formicarius nigricapillus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,16249,Formicarius nigricapillus,Black-headed Antthrush,Formicarius nigricapillus,Formicarius nigricapillus,Formicarius nigricapillus
Formicarius rufipectus,Rufous-breasted Antthrush,Formicarius rufipectus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,16252,Formicarius rufipectus,Rufous-breasted Antthrush,Formicarius rufipectus,Formicarius rufipectus,Formicarius rufipectus
Sclerurus mexicanus,Tawny-throated Leaftosser,Sclerurus mexicanus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14300,Sclerurus mexicanus,Tawny-throated Leaftosser,Sclerurus mexicanus,Sclerurus mexicanus,Sclerurus mexicanus
Sclerurus albigularis,Gray-throated Leaftosser,Sclerurus albigularis,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14328,Sclerurus albigularis,Grey-throated Leaftosser,Sclerurus albigularis,Sclerurus albigularis,Sclerurus albigularis
Sclerurus guatemalensis,Scaly-throated Leaftosser,Sclerurus guatemalensis,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14316,Sclerurus guatemalensis,Scaly-throated Leaftosser,Sclerurus guatemalensis,Sclerurus guatemalensis,Sclerurus guatemalensis
Sittasomus griseicapillus,Olivaceous Woodcreeper,Sittasomus griseicapillus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14378,Sittasomus griseicapillus,Eastern Olivaceous Woodcreeper,Sittasomus griseicapillus,Sittasomus griseicapillus,Sittasomus griseicapillus
Deconychura longicauda,Long-tailed Woodcreeper,Deconychura longicauda,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14398,Deconychura longicauda,Northern Long-tailed Woodcreeper,Deconychura longicauda,Deconychura longicauda,Deconychura longicauda
Dendrocincla homochroa,Ruddy Woodcreeper,Dendrocincla homochroa,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14420,Dendrocincla homochroa,Ruddy Woodcreeper,Dendrocincla homochroa,Dendrocincla homochroa,Dendrocincla homochroa
Dendrocincla anabatina,Tawny-winged Woodcreeper,Dendrocincla anabatina,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14425,Dendrocincla anabatina,Tawny-winged Woodcreeper,Dendrocincla anabatina,Dendrocincla anabatina,Dendrocincla anabatina
Dendrocincla fuliginosa,Plain-brown Woodcreeper,Dendrocincla fuliginosa,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14429,Dendrocincla fuliginosa,Plain-brown Woodcreeper,Dendrocincla fuliginosa,Dendrocincla fuliginosa,Dendrocincla fuliginosa
Glyphorynchus spirurus,Wedge-billed Woodcreeper,Glyphorynchus spirurus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14444,Glyphorynchus spirurus,Wedge-billed Woodcreeper,Glyphorynchus spirurus,Glyphorynchus spirurus,Glyphorynchus spirurus
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14465,Dendrocolaptes sanctithomae,Western Barred Woodcreeper,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae
Dendrocolaptes picumnus,Black-banded Woodcreeper,Dendrocolaptes picumnus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Mesoamerican Highland,Forests—Tropical Montane Evergreen,Forests—Mesoamerican Highland,Forests—Tropical Montane Evergreen,14485,Dendrocolaptes picumnus,Black-banded Woodcreeper,Dendrocolaptes picumnus,Dendrocolaptes picumnus,Dendrocolaptes picumnus
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Montane Evergreen,Forests—Mesoamerican Highland,Forests—Tropical Montane Evergreen,Forests—Mesoamerican Highland,14512,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus
Xiphorhynchus susurrans,Cocoa Woodcreeper,Xiphorhynchus susurrans,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14594,Xiphorhynchus susurrans,Cocoa Woodcreeper,Xiphorhynchus susurrans,Xiphorhynchus susurrans,Xiphorhynchus susurrans
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,14604,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,Xiphorhynchus flavigaster,Xiphorhynchus flavigaster
Xiphorhynchus lachrymosus,Black-striped Woodcreeper,Xiphorhynchus lachrymosus,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14614,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,Xiphorhynchus lachrymosus,Xiphorhynchus lachrymosus,Xiphorhynchus lachrymosus
Xiphorhynchus erythropygius,Spotted Woodcreeper,Xiphorhynchus erythropygius,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14618,Xiphorhynchus erythropygius,Northern Spotted Woodcreeper,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius
Dendroplex picus,Straight-billed Woodcreeper,Dendroplex picus,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14630,Dendroplex picus,Straight-billed Woodcreeper,Dendroplex picus,Dendroplex picus,Dendroplex picus
Campylorhamphus trochilirostris,Red-billed Scythebill,Campylorhamphus trochilirostris,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14648,Campylorhamphus trochilirostris,Red-billed Scythebill,Campylorhamphus trochilirostris,Campylorhamphus trochilirostris,Campylorhamphus trochilirostris
Campylorhamphus pusillus,Brown-billed Scythebill,Campylorhamphus pusillus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14676,Campylorhamphus pusillus,Brown-billed Scythebill,Campylorhamphus pusillus,Campylorhamphus pusillus,Campylorhamphus pusillus
Lepidocolaptes leucogaster,White-striped Woodcreeper,Lepidocolaptes leucogaster,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,14684,Lepidocolaptes leucogaster,White-striped Woodcreeper,Lepidocolaptes leucogaster,Lepidocolaptes leucogaster,Lepidocolaptes leucogaster
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14687,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,Lepidocolaptes souleyetii,Lepidocolaptes souleyetii
Lepidocolaptes affinis,Spot-crowned Woodcreeper,Lepidocolaptes affinis,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14706,Lepidocolaptes affinis,Northern Spot-crowned Woodcreeper,Lepidocolaptes affinis,Lepidocolaptes affinis,Lepidocolaptes affinis
Xenops minutus,Plain Xenops,Xenops minutus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14741,Xenops minutus,White-throated Xenops,Xenops minutus,Xenops minutus,Xenops minutus
Pseudocolaptes lawrencii,Buffy Tuftedcheek,Pseudocolaptes lawrencii,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14778,Pseudocolaptes lawrencii,Buffy Tuftedcheek,Pseudocolaptes lawrencii,Pseudocolaptes lawrencii,Pseudocolaptes lawrencii
Lochmias nematura,Sharp-tailed Streamcreeper,Lochmias nematura,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14824,Lochmias nematura,Streamcreeper,Lochmias nematura,Lochmias nematura,Lochmias nematura
Philydor fuscipenne,Slaty-winged Foliage-gleaner,Philydor fuscipenne,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,14911,Philydor fuscipenne,Slaty-winged Foliage-gleaner,Philydor fuscipenne,Philydor fuscipenne,Philydor fuscipenne
Philydor rufum,Buff-fronted Foliage-gleaner,Philydor rufum,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14978,Philydor rufum,Buff-fronted Foliage-gleaner,Dendroma rufa,Philydor rufum,Philydor rufum
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14931,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps
Syndactyla subalaris,Lineated Foliage-gleaner,Syndactyla subalaris,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14958,Syndactyla subalaris,Lineated Foliage-gleaner,Syndactyla subalaris,Syndactyla subalaris,Syndactyla subalaris
Clibanornis rubiginosus,Ruddy Foliage-gleaner,Clibanornis rubiginosus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,14994,Clibanornis rubiginosus,Ruddy Foliage-gleaner,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus
Thripadectes rufobrunneus,Streak-breasted Treehunter,Thripadectes rufobrunneus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,15017,Thripadectes rufobrunneus,Streak-breasted Treehunter,Thripadectes rufobrunneus,Thripadectes rufobrunneus,Thripadectes rufobrunneus
Automolus ochrolaemus,Buff-throated Foliage-gleaner,Automolus ochrolaemus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,15036,Automolus ochrolaemus,Buff-throated Foliage-gleaner,Automolus ochrolaemus,Automolus ochrolaemus,Automolus ochrolaemus
Automolus subulatus,Striped Woodhaunter,Automolus subulatus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,15046,Automolus subulatus,Amazonian Woodhaunter,Automolus subulatus,Automolus subulatus,Automolus subulatus
Premnoplex brunnescens,Spotted Barbtail,Premnoplex brunnescens,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,15066,Premnoplex brunnescens,Spotted Barbtail,Premnoplex brunnescens,Premnoplex brunnescens,Premnoplex brunnescens
Margarornis bellulus,Beautiful Treerunner,Margarornis bellulus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,15079,Margarornis bellulus,Beautiful Treerunner,Margarornis bellulus,Margarornis bellulus,Margarornis bellulus
Margarornis rubiginosus,Ruddy Treerunner,Margarornis rubiginosus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,15080,Margarornis rubiginosus,Ruddy Treerunner,Margarornis rubiginosus,Margarornis rubiginosus,Margarornis rubiginosus
Xenerpestes minlosi,Double-banded Graytail,Xenerpestes minlosi,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,15241,Xenerpestes minlosi,Double-banded Greytail,Xenerpestes minlosi,Xenerpestes minlosi,Xenerpestes minlosi
Cranioleuca erythrops,Red-faced Spinetail,Cranioleuca erythrops,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,15296,Cranioleuca erythrops,Red-faced Spinetail,Cranioleuca erythrops,Cranioleuca erythrops,Cranioleuca erythrops
Cranioleuca dissita,Coiba Spinetail,Cranioleuca dissita,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Islands—Terrestrial Habitats,,Islands—Terrestrial Habitats,,15276,Cranioleuca dissita,Coiba Spinetail,Cranioleuca dissita,Cranioleuca dissita,Cranioleuca dissita
Synallaxis albescens,Pale-breasted Spinetail,Synallaxis albescens,R,NA,NA,,NA,NA,Neotropical,Neotropical,Open Country—Habitat Mosaic,,Open Country—Habitat Mosaic,,15407,Synallaxis albescens,Pale-breasted Spinetail,Synallaxis albescens,Synallaxis albescens,Synallaxis albescens
Synallaxis brachyura,Slaty Spinetail,Synallaxis brachyura,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,Forests—Tropical Montane Evergreen,Forests—Tropical Lowland Evergreen,Forests—Tropical Montane Evergreen,15377,Synallaxis brachyura,Slaty Spinetail,Synallaxis brachyura,Synallaxis brachyura,Synallaxis brachyura
Synallaxis erythrothorax,Rufous-breasted Spinetail,Synallaxis erythrothorax,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,15442,Synallaxis erythrothorax,Rufous-breasted Spinetail,Synallaxis erythrothorax,Synallaxis erythrothorax,Synallaxis erythrothorax
Chiroxiphia lanceolata,Lance-tailed Manakin,Chiroxiphia lanceolata,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,18081,Chiroxiphia lanceolata,Lance-tailed Manakin,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Chiroxiphia lanceolata
Chiroxiphia linearis,Long-tailed Manakin,Chiroxiphia linearis,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Dry,,Forests—Tropical Dry,,18078,Chiroxiphia linearis,Long-tailed Manakin,Chiroxiphia linearis,Chiroxiphia linearis,Chiroxiphia linearis
Cryptopipo holochlora,Green Manakin,Cryptopipo holochlora,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18107,Cryptopipo holochlora,Green Manakin,Cryptopipo holochlora,Cryptopipo holochlora,Cryptopipo holochlora
Lepidothrix coronata,Blue-crowned Manakin,Lepidothrix coronata,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18113,Lepidothrix coronata,Blue-crowned Manakin,Lepidothrix coronata,Lepidothrix coronata,Lepidothrix coronata
Manacus candei,White-collared Manakin,Manacus candei,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18156,Manacus candei,White-collared Manakin,Manacus candei,Manacus candei,Manacus candei
Manacus aurantiacus,Orange-collared Manakin,Manacus aurantiacus,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18164,Manacus aurantiacus,Orange-collared Manakin,Manacus aurantiacus,Manacus aurantiacus,Manacus aurantiacus
Manacus vitellinus,Golden-collared Manakin,Manacus vitellinus,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18159,Manacus vitellinus,Golden-collared Manakin,Manacus vitellinus,Manacus vitellinus,Manacus vitellinus
Ceratopipra mentalis,Red-capped Manakin,Ceratopipra mentalis,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18208,Ceratopipra mentalis,Red-capped Manakin,Ceratopipra mentalis,Ceratopipra mentalis,Ceratopipra mentalis
Ceratopipra erythrocephala,Golden-headed Manakin,Ceratopipra erythrocephala,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18213,Ceratopipra erythrocephala,Golden-headed Manakin,Ceratopipra erythrocephala,Ceratopipra erythrocephala,Ceratopipra erythrocephala
Querula purpurata,Purple-throated Fruitcrow,Querula purpurata,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18019,Querula purpurata,Purple-throated Fruitcrow,Querula purpurata,Querula purpurata,Querula purpurata
Cephalopterus glabricollis,Bare-necked Umbrellabird,Cephalopterus glabricollis,PM,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18026,Cephalopterus glabricollis,Bare-necked Umbrellabird,Cephalopterus glabricollis,Cephalopterus glabricollis,Cephalopterus glabricollis
Cotinga amabilis,Lovely Cotinga,Cotinga amabilis,R,NA,NA,,NA,NA,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18051,Cotinga amabilis,Lovely Cotinga,Cotinga amabilis,Cotinga amabilis,Cotinga amabilis
Cotinga ridgwayi,Turquoise Cotinga,Cotinga ridgwayi,R,NA,NA,,NA,NA,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18053,Cotinga ridgwayi,Turquoise Cotinga,Cotinga ridgwayi,Cotinga ridgwayi,Cotinga ridgwayi
Cotinga nattererii,Blue Cotinga,Cotinga nattererii,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18052,Cotinga nattererii,Blue Cotinga,Cotinga nattererii,Cotinga nattererii,Cotinga nattererii
Lipaugus unirufus,Rufous Piha,Lipaugus unirufus,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18032,Lipaugus unirufus,Rufous Piha,Lipaugus unirufus,Lipaugus unirufus,Lipaugus unirufus
Procnias tricarunculatus,Three-wattled Bellbird,Procnias tricarunculatus,PM,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,18044,Procnias tricarunculatus,Three-wattled Bellbird,Procnias tricarunculatus,Procnias tricarunculatus,Procnias tricarunculatus
Carpodectes hopkei,Black-tipped Cotinga,Carpodectes hopkei,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,18062,Carpodectes hopkei,Black-tipped Cotinga,Carpodectes hopkei,Carpodectes hopkei,Carpodectes hopkei
